Communication,Group,Player,VL_PP1,VL_PP2,VL_PP3,Sigma,Alpha,Lambda,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_15,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,HC_15,LO_1,LO_2,LO_3,LO_4,LO_5,LO_6,LO_7,LO_8,LO_9,LO_10,LO_11,LO_12,LO_13,LO_14,LO_15,HO_1,HO_2,HO_3,HO_4,HO_5,HO_6,HO_7,HO_8,HO_9,HO_10,HO_11,HO_12,HO_13,HO_14,HO_15,LP_1,LP_2,LP_3,LP_4,LP_5,LP_6,LP_7,LP_8,LP_9,LP_10,LP_11,LP_12,LP_13,LP_14,LP_15,HP_1,HP_2,HP_3,HP_4,HP_5,HP_6,HP_7,HP_8,HP_9,HP_10,HP_11,HP_12,HP_13,HP_14,HP_15,RA,LA,ST_P1,ST_P2,ST_P3,ST_P4,GT_I1,GT_I2,GT_I3,GT_I4,GT_I5,GT_I6,GT_I7,GT_I8,GT_I9,Strategy
No Communication,9,2,11,10,3,0.35,0.7,4.699,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,-5,-15,10,-15,-5,20,-5,20,-5,-5,-5,-5,20,-5,-5,-5,10,20,10,20,-5,10,-5,-5,20,-5,-5,-5,20,20,2,6,NA,3,4,4,3,3,3,4,4,5,3,4,3,3
No Communication,9,3,11,12,7,0.25,0.65,24.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,-5,-5,20,-5,-5,20,-5,20,-5,-5,-5,-5,20,-5,-5,-5,10,10,10,20,-5,20,-5,-5,20,-5,-5,-5,20,20,0,5,4,NA,4,2,3,3,4,4,4,4,4,2,5,3
No Communication,9,4,9,14,8,0.25,0.45,22.755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,-15,-5,20,-5,-5,20,-5,20,-5,-5,-5,-5,20,-5,-5,-15,10,10,10,10,-5,10,-15,-15,10,-15,-15,-15,20,20,2,7,5,3,4,NA,3,3,5,4,4,4,3,3,4,5
No Communication,10,1,9,12,8,0.35,0.55,23.098,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-5,-5,10,-15,-5,20,20,10,-5,10,10,-5,20,-5,20,-15,10,10,20,10,10,10,-5,-15,20,-15,20,-15,-5,-5,2,5,2,NA,5,1,4,2,4,2,5,4,4,3,4,5
No Communication,10,2,9,12,5,0.35,0.55,9.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-5,-5,20,-5,-5,20,20,20,-5,20,20,-5,20,-5,20,-15,10,20,20,20,20,20,-5,-5,20,-5,20,-5,-5,-5,0,3,2,2,NA,2,2,3,4,4,4,4,3,3,5,3
No Communication,10,3,12,15,4,0.1,0.55,5.844,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-5,-5,20,-5,-5,20,10,20,-5,20,20,-5,20,-5,20,-5,20,20,20,20,20,20,-5,-5,20,-5,20,-5,-5,-5,0,2,4,2,2,NA,3,2,3,4,4,4,4,4,4,1
No Communication,10,4,11,14,5,0.15,0.55,10.957,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,-5,-5,20,-5,-5,10,20,20,-15,20,20,-5,20,-5,20,-15,20,20,10,20,20,20,-5,-15,20,-5,20,-5,-5,-5,2,7,NA,3,2,5,1,1,2,2,3,4,5,4,5,3
No Communication,11,1,15,15,8,0.05,0.6,26.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-5,20,-5,20,20,20,20,-5,-5,20,-5,20,-5,-5,20,10,20,-15,20,20,-5,-5,20,20,20,20,20,20,20,20,2,4,NA,1,1,2,4,4,4,4,4,4,4,4,4,3
No Communication,11,2,12,15,8,0.1,0.55,25.058,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-5,10,-15,20,20,20,20,-5,-15,20,-5,20,-5,-5,20,10,20,-15,10,10,-5,-5,10,20,10,20,20,10,20,20,2,4,4,2,NA,3,2,2,4,4,3,4,2,4,3,1
No Communication,11,3,8,15,5,0.25,0.35,9.581,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-5,10,-5,20,20,20,20,-5,-5,20,-5,20,-5,-5,20,10,10,-5,20,10,-5,-5,10,20,20,20,20,20,20,20,2,4,1,5,4,NA,3,2,4,3,4,4,3,3,4,2
No Communication,11,4,11,15,7,0.1,0.45,24.061,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-5,20,-15,20,20,10,20,-5,-5,20,-5,20,-5,-5,20,10,10,-5,10,10,-15,-15,10,10,20,10,20,10,10,20,2,5,1,NA,3,4,4,2,2,4,4,4,4,4,4,1
No Communication,12,1,10,15,7,0.15,0.45,23.562,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,-5,20,-5,-5,10,-15,-5,-5,-15,20,20,20,20,20,-5,-5,10,10,10,-5,-15,10,-15,20,20,20,20,20,-5,-5,2,5,2,NA,4,5,2,2,3,3,3,3,4,5,5,1
No Communication,12,2,13,11,6,0.2,0.8,14.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,-5,20,-5,-5,20,-5,-5,-5,-5,20,20,20,20,20,-5,-5,10,10,10,-15,-15,20,-5,20,20,20,20,20,-5,-5,2,2,NA,3,4,5,4,2,3,2,4,5,4,4,3,3
No Communication,12,3,5,5,7,0.9,0.7,24.765,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,-5,10,-15,-15,10,-15,-15,-15,-5,20,20,20,20,20,-5,-5,10,10,10,-15,-5,20,-15,10,20,20,20,20,-5,-5,2,3,5,3,2,NA,2,4,3,2,3,3,4,4,3,6
No Communication,12,4,13,13,5,0.15,0.7,11.671,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,-5,20,-15,-15,20,-5,-5,-5,-5,10,10,20,10,20,-5,-15,20,20,20,-5,-5,10,-5,20,20,20,20,20,-5,-5,2,3,2,3,NA,5,4,4,4,4,4,4,2,4,2,5
Communication,13,1,12,15,6,0.1,0.55,14.087,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,6,1,4,5,NA,2,3,4,3,4,4,3,4,3,4
Communication,13,2,11,15,2,0.1,0.45,2.928,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,5,NA,3,5,5,4,4,4,4,5,3,3,4,3
Communication,13,3,7,14,5,0.35,0.35,9.156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,3,NA,5,3,5,4,4,4,4,4,4,3,4,5,6
Communication,13,4,15,15,8,0.05,0.6,26.187,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,5,5,NA,5,5,5,5,5,5,5,5,5,5,4
Communication,14,1,5,15,2,0.35,0.2,2.798,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,20,-5,-5,20,10,10,10,10,10,10,10,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,7,5,NA,5,5,5,5,5,5,5,5,1,5,5,4
Communication,14,2,6,13,8,0.45,0.35,20.968,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,20,-5,-5,20,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,5,5,1,NA,4,4,4,3,4,4,4,3,4,5,3
